t,vcin_pseudo,vcip_pseudo
 9.77596E-05 , 6.21100E-01 , 6.28871E-01 
 9.80345E-05 , 9.19589E-01 , 2.08135E-01 
 9.82658E-05 , 6.32526E-01 , 6.55449E-01 
 9.85096E-05 , 9.55597E-01 , 2.44927E-01 
 9.87659E-05 , 6.13654E-01 , 6.36370E-01 
 9.90533E-05 , 6.27358E-01 , 6.22601E-01 
 9.93179E-05 , 4.38688E-01 , 7.61312E-01 
 9.95783E-05 , 6.23258E-01 , 6.26758E-01 
 9.98471E-05 , 5.29784E-01 , 8.06591E-01 
 1.00072E-04 , 6.20085E-01 , 6.29911E-01 
 1.00341E-04 , 5.49424E-01 , 7.09035E-01 
 1.00610E-04 , 4.61855E-01 , 7.39390E-01 
 1.00866E-04 , 6.27334E-01 , 6.22571E-01 
 1.01141E-04 , 6.89759E-01 , 5.60273E-01 
 1.01391E-04 , 6.24101E-01 , 6.25870E-01 
 1.01647E-04 , 8.13992E-01 , 5.12441E-01 
 1.01878E-04 , 6.19447E-01 , 6.30517E-01 
 1.02153E-04 , 7.14975E-01 , 5.35002E-01 
